#残基原子疏水亲水表， by CY, 2010.3.1.
#与其他数据不同的是，这里包含完整的氢原子，连上H的N就改成疏水了
#需要进一步改进
RESIDUE ALA 
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HB3 1

RESIDUE ARG 
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM CD 1
ATOM NE 1
ATOM CZ 1
ATOM NH1 1
ATOM NH2 1
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HG1 1
ATOM HG2 1
ATOM HD1 1
ATOM HD2 1
ATOM HE 1
ATOM HH11 0.4
ATOM HH12 0.4
ATOM HH21 0.4
ATOM HH22 0.4

RESIDUE ASN
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM OD1 0.4
ATOM ND2 1
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HD21 0.4
ATOM HD22 0.4

RESIDUE ASP
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM OD1 0.4
ATOM OD2 0.4
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1

RESIDUE CYS
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM SG 1
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HG1 0.4

RESIDUE GLN
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM CD 1
ATOM OE1 0.4
ATOM NE2 1
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HG1 1
ATOM HG2 1
ATOM HE21 0.4
ATOM HE22 0.4
 
RESIDUE GLU
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM CD 1
ATOM OE1 0.4
ATOM OE2 0.4
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HG1 1
ATOM HG2 1

RESIDUE GLY
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM HN 0.4
ATOM HA1 1
ATOM HA2 1

RESIDUE HSD
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM ND1 1
ATOM CD2 1
ATOM CE1 1
ATOM NE2 1
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HE1 1
ATOM HD1 1
ATOM HD2 1

RESIDUE HSE
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM ND1 1
ATOM CD2 1
ATOM CE1 1
ATOM NE2 1
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HE1 1
ATOM HE2 1
ATOM HD2 1

RESIDUE HSP
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM ND1 1
ATOM CD2 1
ATOM CE1 1
ATOM NE2 1
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HE1 1
ATOM HE2 0.4
ATOM HD1 0.4
ATOM HD2 1

RESIDUE ILE
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG1 1
ATOM CD 1
ATOM CG2 1
ATOM HN 0.4
ATOM HA 1
ATOM HB 1
ATOM HG21 1
ATOM HG22 1
ATOM HG23 1
ATOM HG11 1
ATOM HG12 1
ATOM HD1 1
ATOM HD2 1
ATOM HD3 1

RESIDUE LEU
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM CD1 1
ATOM CD2 1
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HG 1
ATOM HD11 1
ATOM HD12 1
ATOM HD13 1
ATOM HD21 1
ATOM HD22 1
ATOM HD23 1

RESIDUE LYS
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM CD 1
ATOM CE 1
ATOM NZ 1
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HG1 1
ATOM HG2 1
ATOM HD1 1
ATOM HD2 1
ATOM HE1 1
ATOM HE2 1
ATOM HZ1 0.4
ATOM HZ2 0.4
ATOM HZ3 0.4

RESIDUE MET
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM SD 1
ATOM CE 1
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HG1 1
ATOM HG2 1
ATOM HE1 1
ATOM HE2 1
ATOM HE3 1

RESIDUE PHE
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM CD1 1
ATOM CD2 1
ATOM CE1 1
ATOM CE2 1
ATOM CZ 1
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HD1 1
ATOM HD2 1
ATOM HE1 1
ATOM HE2 1
ATOM HZ 1

RESIDUE PRO
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM CD 1
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HG1 1
ATOM HG2 1
ATOM HD1 1
ATOM HD2 1
 
RESIDUE SER
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM OG 0.4
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HG1 0.4
 
RESIDUE THR
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM OG1 0.4
ATOM CG2 1
ATOM HN 0.4
ATOM HA 1
ATOM HB 1
ATOM HG1 0.4
ATOM HG21 1
ATOM HG22 1
ATOM HG23 1

RESIDUE TRP
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM CD1 1
ATOM CD2 1
ATOM CE2 1
ATOM NE1 1
ATOM CE3 1
ATOM CZ3 1
ATOM CH2 1
ATOM CZ2 1
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HE3 1
ATOM HZ3 1
ATOM HH2 1
ATOM HZ2 1
ATOM HE1 1
ATOM HD1 1

RESIDUE TYR
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG 1
ATOM CD1 1
ATOM CD2 1
ATOM CE1 1
ATOM CE2 1
ATOM CZ 1
ATOM OH 0.4
ATOM HN 0.4
ATOM HA 1
ATOM HB1 1
ATOM HB2 1
ATOM HD1 1
ATOM HD2 1
ATOM HE1 1
ATOM HE2 1
ATOM HH 0.4

RESIDUE VAL
ATOM N 1
ATOM CA 1
ATOM C 1
ATOM O 0.4
ATOM CB 1
ATOM CG1 1
ATOM CG2 1
ATOM HN 0.4
ATOM HA 1
ATOM HB 1
ATOM HG11 1
ATOM HG12 1
ATOM HG13 1
ATOM HG21 1
ATOM HG22 1
ATOM HG23 1


