# 范德华半径项，来自NACESS,改成Charmm命名2009.1.11.
RESIDUE ATOM ALA  5
ATOM  N   1.65 1 0.02
ATOM  CA  1.87 0 0.02
ATOM  C   1.76 0 0.02
ATOM  O   1.40 -1 0.02
ATOM  CB  1.87 0 0.02
RESIDUE ATOM ARG 11
ATOM  N   1.65 1 0.02
ATOM  CA  1.87 0 0.02
ATOM  C   1.76 0 0.02
ATOM  O   1.40 -1 0.02
ATOM  CB  1.87 0 0.02
ATOM  CG  1.87 0 0.02
ATOM  CD  1.87 0 0.02
ATOM  NE  1.65 0 0.02
ATOM  CZ  1.76 0 0.02
ATOM  NH1 1.65 1 0.02
ATOM  NH2 1.65 1 0.02
RESIDUE ATOM ASP  8
ATOM  N   1.65 1 0.02
ATOM  CA  1.87 0 0.02
ATOM  C   1.76 0 0.02
ATOM  O   1.40 -1 0.02
ATOM  CB  1.87 0 0.02
ATOM  CG  1.76 0 0.02
ATOM  OD1 1.40 -1 0.01
ATOM  OD2 1.40 -1 0.01
RESIDUE ATOM ASN  8
ATOM  N   1.65 1 0.02
ATOM  CA  1.87 0 0.02
ATOM  C   1.76 0 0.02
ATOM  O   1.40 -1 0.02
ATOM  CB  1.87 0 0.02
ATOM  CG  1.76 0 0.02
ATOM  OD1 1.40 -1 0.02
ATOM  ND2 1.65 1 0.02
RESIDUE ATOM CYS  6              
ATOM  N   1.65 1 0.02
ATOM  CA  1.87 0 0.02
ATOM  C   1.76 0 0.02
ATOM  O   1.40 -1 0.02
ATOM  CB  1.87 0 0.02
ATOM  SG  1.85 0 0.02
RESIDUE ATOM GLU 9
ATOM  N   1.65 1 0.02
ATOM  CA  1.87 0 0.02
ATOM  C   1.76 0 0.02
ATOM  O   1.40 -1 0.02
ATOM  CB  1.87 0 0.02
ATOM  CG  1.87 0 0.02
ATOM  CD  1.76 0 0.02
ATOM  OE1 1.40 -1 0.01
ATOM  OE2 1.40 -1 0.01
RESIDUE ATOM GLN  9              
ATOM  N   1.65 1 0.02
ATOM  CA  1.87 0 0.02
ATOM  C   1.76 0 0.02
ATOM  O   1.40 -1 0.02
ATOM  CB  1.87 0 0.02
ATOM  CG  1.87 0 0.02
ATOM  CD  1.76 0 0.02
ATOM  OE1 1.40 -1 0.02
ATOM  NE2 1.65 1 0.02
RESIDUE ATOM GLY  4
ATOM  N   1.65 1 0.02
ATOM  CA  1.87 0 0.02
ATOM  C   1.76 0 0.02
ATOM  O   1.40 -1 0.02
RESIDUE ATOM HIS 10 
ATOM  N   1.65 1 0.02
ATOM  CA  1.87 0 0.02
ATOM  C   1.76 0 0.02
